
   0   6.01   288   -2.91   19.41
   1   5.95   282   -2.95   19.36
   2   5.90   275   -3.00   19.31
   3   5.85   269   -3.04   19.28 
   4   5.79   262   -3.09   19.23
   5   5.73   256   -3.13   19.19
   6   5.67   249   -3.18   19.14

   8   5.55   236   -3.28   19.04
  10   5.42   223   -3.38   18.98
  15   5.08   217   -3.71   18.61

  20   4.75   217   -4.05   18.27
  30   4.08   230   -4.74   17.58
  40   3.47   253   -5.39   16.92
  50   2.91   273   -5.98   16.34
  60   2.36   246   -6.50   15.82
  70   1.73   216   -7.07   15.26
  80   1.00   183   -7.72   14.60
  90   0.19   183   -8.45   13.80
 100  -0.53   210   -9.30   12.98
 110  -1.14   260  -10.00   12.29
 120  -1.57   390  -10.62   11.69

 150  -2.32   780  -11.67   10.66
 200  -3.06  1200  -12.5     9.86
 250  -3.55  1400  -13.1     9.3
 300  -4.0   1500  -13.6     8.9
